artist_id,academy_id
0.0,0.0
0.0,1.0
2.0,2.0
2.0,3.0
9.0,4.0
13.0,5.0
19.0,6.0
19.0,2.0
26.0,7.0
27.0,8.0
29.0,9.0
39.0,10.0
44.0,2.0
50.0,11.0
50.0,12.0
52.0,5.0
52.0,13.0
56.0,14.0
57.0,15.0
58.0,16.0
59.0,17.0
82.0,18.0
96.0,19.0
126.0,16.0
126.0,16.0
130.0,20.0
140.0,21.0
146.0,13.0
146.0,17.0
146.0,22.0
148.0,23.0
148.0,24.0
148.0,5.0
159.0,25.0
159.0,26.0
174.0,4.0
191.0,4.0
195.0,27.0
198.0,4.0
205.0,4.0
218.0,28.0
227.0,29.0
229.0,30.0
230.0,0.0
239.0,0.0
240.0,31.0
263.0,32.0
263.0,33.0
263.0,34.0
263.0,35.0
285.0,9.0
285.0,5.0
318.0,18.0
323.0,36.0
328.0,19.0
352.0,1.0
357.0,37.0
362.0,17.0
380.0,38.0
395.0,7.0
407.0,21.0
412.0,13.0
424.0,16.0
424.0,16.0
425.0,39.0
429.0,4.0
449.0,17.0
479.0,40.0
496.0,41.0
496.0,4.0
504.0,42.0
504.0,43.0
523.0,44.0
524.0,4.0
533.0,45.0
545.0,8.0
557.0,46.0
557.0,47.0
572.0,0.0
604.0,15.0
606.0,6.0
